year,Loss,tmin6
2004,188.4147377,14.96298284
2009,200.8595078,16.956413
2015,215.6781862,16.49848055
1940,251.3170169,13.64718465
1958,317.6346378,10.8376918
1928,193.0322163,11.29852967
1980,257.7057207,12.23099016
1952,260.6612926,15.56678961
1949,258.7949454,15.39268053
1987,282.3287818,15.17326686
1979,251.1659211,13.42025104
1961,298.3643293,12.53338166
1943,217.2724604,15.58758005
1991,441.5266234,15.24322664
1956,297.6294027,14.93906385
2006,266.0831397,13.25554312
2016,256.8627,14.44625599
1929,181.9101316,14.03529726
1958,213.0446267,13.54844152
1976,161.8601095,15.58937395
1953,266.6026269,17.7762927
1944,227.9053738,17.73201971
1966,237.549174,14.91096851
1978,187.5145909,16.09855946
1993,224.0360309,15.22916528
2009,209.9105847,16.22505666
2013,220.6617887,15.97929425
1955,192.8575988,13.69269673
1929,184.0709604,14.22525119
1940,188.5358672,16.87060047
1975,184.8148364,17.01085124
1954,202.503696,18.37994043
1970,193.4771351,15.83648843
1948,187.0637839,15.92405663
1961,187.6296953,14.36207595
1960,188.7722921,15.2645397
1993,187.573677,15.95034716
1995,193.8327755,16.28825921
2003,187.8487583,13.83804908
1997,190.6617776,16.21907285
1999,189.1714398,16.88218076
2018,186.4777534,18.57862024
1985,270.8128447,15.57701411
1950,293.3193299,16.35312438
1951,285.2603701,15.81370121
1958,285.9552626,15.13831627
1959,300.4180447,17.10601712
1928,239.1587576,14.28256517
1987,277.8214751,18.19685903
1936,373.3064471,15.59074148
2002,291.4040686,18.77317502
2000,271.5808407,16.45076883
2005,288.8617299,18.20431441
1985,302.4119057,15.89581713
1961,302.2471535,15.76111307
1937,301.6659554,18.00253862
1990,305.2002422,18.05442599
1940,301.7694186,17.53139857
2002,307.7222064,19.21382675
1998,305.9348308,18.46482834
2006,313.6463079,17.78695976
1991,403.5233691,18.82328092
1935,382.6087262,15.26759313
1950,386.6379218,17.02405783
1940,403.3109878,16.87818442
1980,424.9267225,16.19804653
1979,335.1960626,16.48469397
1928,345.0366536,14.52707083
1937,379.6787188,17.05296387
