year,Loss,tmin6,dpt6,dpt11,tmax12,dpt12
1945,274.7641622,14.1493889,13.25605911,1.924871123,-0.276979072,-8.59099001
1941,224.5437451,16.24603947,14.8315986,-1.716695659,5.152638887,-3.131539968
1927,243.0670209,13.13601491,12.54522747,-2.223489148,1.493307103,-6.843674764
1937,228.7951015,15.17484198,14.55865389,-2.345000157,5.678346507,-3.871209308
1952,286.744367,18.07463194,16.82117638,-4.263622538,2.419178683,-7.031867252
1984,274.2688349,17.34106086,15.08996781,2.418794168,-5.162528195,-11.94513679
1992,244.6277219,13.1669673,11.44501705,-1.553582575,4.328185854,-3.584169915
2006,259.243275,14.90747587,13.24188975,-0.031520261,-1.274700679,-7.491879955
1967,322.5770575,17.4015999,17.12558817,2.36162862,7.19004791,-3.376514205
1964,422.378973,17.98717809,16.63626143,2.216956455,1.864789857,-10.13987874
1950,401.2072773,17.45546455,16.61893089,0.547701783,10.54456237,-1.999524335
1928,387.7152718,15.30177183,15.42276899,3.431995077,7.156864581,-4.776099815
1980,486.8149959,16.40064461,15.50877891,1.52414777,7.879053716,-2.667876987
1960,382.9015013,16.49984053,16.02548565,-1.386702095,9.127742999,0.215336533
1989,359.9016558,16.62237306,16.67808212,2.409510713,8.222431505,-4.335076627
1955,447.2251932,14.5885643,14.16584447,1.324164332,7.094445598,-2.3544325
1973,421.547208,17.50241439,17.90324081,1.781613094,4.804665391,-3.286711457
1945,402.6202311,16.4489818,15.64975978,3.088021013,3.549146125,-6.082235403
1981,370.486532,18.61723003,17.66893181,0.468158025,7.600425188,-2.964620476
2000,381.6096665,17.24491898,17.20855355,3.464957832,8.2728077,-2.151628256
2017,395.092461,17.28658056,16.70095773,4.217819531,5.849277052,-3.949417304
2018,401.1631811,20.11018497,20.11028456,2.783305521,6.651998805,-3.981746298
1971,237.3546943,18.01470744,16.94141399,-0.600102242,4.82601359,-5.332197294
1941,244.5436895,16.58949979,15.50578799,-2.335105856,5.03774601,-3.428844466
1938,254.7409089,15.36423886,14.63043698,-3.11025265,0.357306318,-6.858358524
1959,267.9799881,16.7867323,14.35031412,0.060015151,1.315470039,-9.821772229
1960,297.000448,15.30316546,14.51685732,-4.164894221,6.049839248,-1.949675845
1975,235.2805789,16.39336141,16.00458449,0.770265807,2.713189692,-3.752092154
1981,247.0806227,16.74512526,15.81580481,-1.64215053,3.489452311,-5.821617762
1970,296.9876471,15.9349055,15.44842875,-1.305166535,1.579645964,-6.318866808
1987,268.5994316,17.17886608,15.6302156,-1.922600139,3.342326366,-4.20117034
1999,252.5301077,16.27566818,15.76702606,1.156959131,6.438100921,-3.840377687
1998,265.2427299,16.30034894,15.71816073,-1.136234026,2.696439905,-3.80948784
1992,241.2648374,13.85824162,11.6855121,-2.177896084,5.168587401,-4.009664826
2008,240.6498022,16.82647932,14.98732019,-2.363724134,1.916681374,-5.456428524
2018,244.0257325,18.21825165,18.20362375,-0.74531948,3.392930544,-7.595339387
2017,254.8962426,16.16035845,14.06137819,3.125491211,1.293665333,-6.978874985
1970,437.7910731,17.37337525,16.74676774,0.529208123,5.073009212,-3.997310827
1967,210.2622687,17.39943486,16.9514283,2.629394452,7.450119068,-2.871686917
1988,328.4092924,15.27291803,12.40544055,1.761731177,8.606530608,-0.795188707
1953,327.9151848,19.89798795,17.83872562,0.397651459,8.015429393,-1.049337247
1999,349.1230647,18.4519553,17.63601976,3.504491069,9.427695131,0.01353154
2003,334.9970086,15.25432569,14.71750813,1.154580932,6.599318273,-2.355984688
1966,284.3975459,14.86179788,13.72649351,1.78589692,9.78489474,-1.22121381
1967,270.9401665,16.63600005,16.5657943,1.359213987,5.117755597,-4.655922752
1971,280.388479,18.29797813,17.78574672,0.06780633,7.140567874,-3.721319626
1987,277.1243548,17.35711255,16.43830068,-0.600528657,4.489970222,-3.279516112
